address,bbl,borough,permit_count,last_permit_date,borough_full
301 COMFORT ROAD,1000010010,MN,0,2018-12-06,Manhattan
1 LIBERTY ISLAND,1000010101,MN,0,,Manhattan
1 ELLIS ISLAND,1000010201,MN,0,,Manhattan
4 SOUTH STREET,1000020001,MN,0,,Manhattan
10 SOUTH STREET,1000020002,MN,0,,Manhattan
1 PIER 6,1000020023,MN,0,,Manhattan
10 BATTERY PARK,1000030001,MN,0,,Manhattan
1 SOUTH STREET,1000030010,MN,0,,Manhattan
1 WATER STREET,1000047501,MN,0,2015-01-16,Manhattan
115 BROAD STREET,1000050010,MN,0,,Manhattan
125 BROAD STREET,1000057501,MN,0,2019-06-11,Manhattan
24 SOUTH STREET,1000060001,MN,0,,Manhattan
30 WATER STREET,1000070027,MN,0,,Manhattan
28 WATER STREET,1000070028,MN,0,,Manhattan
26 WATER STREET,1000070029,MN,0,,Manhattan
24 WATER STREET,1000070030,MN,0,,Manhattan
105 BROAD STREET,1000070031,MN,0,,Manhattan
101 BROAD STREET,1000070033,MN,0,,Manhattan
99 BROAD STREET,1000070035,MN,0,,Manhattan
58 PEARL STREET,1000070037,MN,0,,Manhattan
60 PEARL STREET,1000070038,MN,0,,Manhattan
1 COENTIES SLIP,1000077501,MN,0,,Manhattan
32 WATER STREET,1000077502,MN,0,,Manhattan
32 PEARL STREET,1000080039,MN,0,,Manhattan
102 BROAD STREET,1000080044,MN,0,,Manhattan
6 WATER STREET,1000080051,MN,0,2015-02-13,Manhattan
39 WHITEHALL STREET,1000087501,MN,0,,Manhattan
34 WHITEHALL STREET,1000090001,MN,0,2019-06-12,Manhattan
7 STATE STREET,1000090007,MN,0,,Manhattan
17 STATE STREET,1000090014,MN,0,2018-03-05,Manhattan
24 STATE STREET,1000090029,MN,0,2017-06-22,Manhattan
100 BROAD STREET,1000100001,MN,0,,Manhattan
33 WHITEHALL STREET,1000100014,MN,0,2018-05-29,Manhattan
27 WHITEHALL STREET,1000100015,MN,0,,Manhattan
90 BROAD STREET,1000100016,MN,0,,Manhattan
25 BRIDGE STREET,1000100019,MN,0,,Manhattan
1 WHITEHALL STREET,1000100023,MN,0,2016-03-09,Manhattan
6 STONE STREET,1000100032,MN,0,,Manhattan
8 STONE STREET,1000100033,MN,0,,Manhattan
2 BROADWAY,1000110001,MN,0,,Manhattan
16 BEAVER STREET,1000110007,MN,0,,Manhattan
18 BEAVER STREET,1000110009,MN,0,,Manhattan
20 BEAVER STREET,1000110010,MN,0,,Manhattan
22 BEAVER STREET,1000110011,MN,0,,Manhattan
24 BEAVER STREET,1000110012,MN,0,,Manhattan
26 BEAVER STREET,1000110014,MN,0,,Manhattan
70 BROAD STREET,1000110015,MN,0,,Manhattan
74 BROAD STREET,1000110017,MN,0,,Manhattan
80 BROAD STREET,1000110021,MN,0,,Manhattan
88 BROAD STREET,1000110026,MN,0,2016-07-14,Manhattan
